행정구역,구,인원,금액,평균
서울,강남구,206821,14403588,69.64277322
서울,강동구,165248,6291291,38.07181327
서울,강북구,103391,2913526,28.17968682
서울,강서구,242516,8809099,36.32378482
서울,관악구,212016,6521099,30.75757962
서울,광진구,142631,5250413,36.81116307
서울,구로구,166803,5614023,33.6566069
서울,금천구,95166,2766103,29.06608453
서울,노원구,189212,6942109,36.689581
서울,도봉구,118281,3683487,31.14183174
서울,동대문구,120859,4069348,33.67021074
서울,동작구,160341,6371673,39.73826407
서울,마포구,152162,6814638,44.78541292
서울,서대문구,115417,4555667,39.47136904
서울,서초구,167636,11569227,69.01397671
서울,성동구,116973,5203765,44.48689014
서울,성북구,151736,5835993,38.46149233
서울,송파구,276658,13537820,48.93341237
서울,양천구,172285,7650219,44.40444032
서울,영등포구,161550,6726793,41.63907768
서울,용산구,89183,5248094,58.84634964
서울,은평구,177719,5878306,33.07640714
서울,종로구,51396,2447854,47.62732508
서울,중구,45693,2050997,44.88645963
서울,중랑구,141781,4114330,29.01890944
